DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,minute,hour,month,dayofweek,day_of_month,hour_sin,hour_cos,hour_squared,part_of_day,is_daytime,day_index,prev_day_peak,hour_avg,ac_lag_96,ac_lag_144,ac_lag_192,dc_lag_96,dc_lag_144,dc_lag_192,irr_lag_96,irr_lag_144,irr_lag_192,temp_lag_96,temp_lag_144,temp_lag_192,daily_yield_lag_96,daily_yield_lag_144,daily_yield_lag_192,efficiency_lag_96,efficiency_lag_144,efficiency_lag_192,module_temp_lag_96,module_temp_lag_144,module_temp_lag_192,ac_lag_mean,irr_lag_mean,temp_lag_mean,ac_lag_trend,efficiency_lag_mean,daily_yield_lag_mean,module_temp_lag_mean,dc_lag_mean,ac_rolling_mean_48,ac_rolling_mean_96,ac_rolling_mean_192,ac_rolling_std_48,ac_rolling_std_96,ac_rolling_std_192,ac_rolling_max_192,ac_rolling_min_192,ac_rolling_range_192,irr_rolling_mean_48,irr_rolling_mean_96,irr_rolling_mean_192,irr_rolling_std_48,irr_rolling_std_96,irr_rolling_std_192,module_temp_rolling_mean_192,module_temp_rolling_std_192,temp_rolling_mean_192,temp_rolling_std_192,solar_elevation,solar_azimuth,clear_sky_ghi,clear_sky_index,clear_sky_index_lag_96,clear_sky_index_lag_144,clear_sky_index_lag_192,clear_sky_index_lag_mean
2020-05-19 02:00:00,0.0,0.0,0.0,6878366.954545454,22.786668392857145,20.76091389285714,0.0,0,2,5,1,19,0.49999999999999994,0.8660254037844387,100,0,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.491515966666668,21.6852857,24.97458903333333,0.0,0.0,0.0,0.0,0.0,0.0,21.347456800000003,19.9956739,23.18467113333333,0.0,0.0,23.383796900000004,0.0,0.0,0.0,21.50926727777778,0.0,269.10976393359425,264.96765270215855,251.85044217234872,342.47393224416305,333.2442991741751,329.90269142612823,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.18657772296042247,0.24887098377000286,0.24820559765846337,0.2456764831991344,31.07153329400931,11.32824503323191,26.6702787004921,3.9740281452467454,0.0,39.54333903301938,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 02:30:00,0.0,0.0,0.0,6878366.954545454,22.903824933333333,20.8303467,0.0,30,2,5,1,19,0.49999999999999994,0.8660254037844387,100,0,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.327013064285712,21.503347766666668,24.999084433333337,0.0,0.0,0.0,0.0,0.0,0.0,21.318911254761908,19.608780866666667,23.839472533333332,0.0,0.0,23.276481754761903,0.0,0.0,0.0,21.58905488492064,0.0,269.10976393359425,264.96765270215855,249.38132019026688,342.47393224416305,333.2442991741751,329.21125927805565,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.18474852959806537,0.24887098377000286,0.24820559765846337,0.24515429370016192,30.975919352448063,11.313312364924201,26.63750158641165,3.9681377187310325,0.0,46.73815365702393,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 03:00:00,0.0,0.0,0.0,6878366.954545454,22.97787273333333,20.81694236666667,0.0,0,3,5,1,19,0.7071067811865475,0.7071067811865476,81,0,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2655935,21.6601134,25.000762347619045,0.0,0.0,0.0,0.0,0.0,0.0,21.48234653333333,20.088683033333332,24.36782165238095,0.0,0.0,23.308823082539686,0.0,0.0,0.0,21.979617073015874,0.0,269.10976393359425,264.96765270215855,246.96014232434197,342.47393224416305,333.2442991741751,328.5137747896411,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.18295485455342397,0.24887098377000286,0.24820559765846337,0.24462784940867016,30.883748742553745,11.296514992607081,26.60476461469891,3.962591237917844,0.0,52.4529254466965,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 03:30:00,0.0,0.0,0.0,6878366.954545454,23.0585287,20.810248933333337,0.0,30,3,5,1,19,0.7071067811865475,0.7071067811865476,81,0,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9469024,21.75579333333333,24.908415733333335,0.0,0.0,0.0,0.0,0.0,0.0,20.843098033333337,20.428889033333338,23.885045333333338,0.0,0.0,23.203703822222224,0.0,0.0,0.0,21.719010800000007,0.0,269.10976393359425,264.96765270215855,244.5855255712233,342.47393224416305,333.2442991741751,327.81085446337056,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.18119567325964103,0.24887098377000286,0.24820559765846337,0.2440975984197267,30.787204024195855,11.284577023034307,26.5695928626345,3.9595877164497995,0.0,57.01609505939649,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 04:00:00,0.0,0.0,0.0,6878366.954545454,23.13747802619048,20.81207800714286,0.0,0,4,5,1,19,0.8660254037844386,0.5000000000000001,64,1,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8430349,21.879233045238095,24.5154165,0.0,0.0,0.0,0.0,0.0,0.0,20.820365333333335,20.76327538095238,22.186792033333333,0.0,0.0,23.0792281484127,0.0,0.0,0.0,21.256810915873015,0.0,269.10976393359425,264.96765270215855,242.25613961340213,342.47393224416305,333.2442991741751,327.1030748588915,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.1794700001809778,0.24887098377000286,0.24820559765846337,0.2435639596855917,30.692281750949547,11.27223643990889,26.534101834418934,3.9572517026363108,0.0,60.69533711009365,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 04:30:00,0.0,0.0,0.0,6878366.954545454,23.24378053333333,20.9328767,0.0,30,4,5,1,19,0.8660254037844386,0.5000000000000001,64,1,0,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.807070933333335,21.97786646666667,24.0379232,0.0,0.0,0.0,0.0,0.0,0.0,21.114963833333334,20.7612203,22.07941996666667,0.0,0.0,22.94095353333334,0.0,0.0,0.0,21.318534700000004,0.0,269.10976393359425,264.96765270215855,239.9707043340304,342.47393224416305,333.2442991741751,326.39097532159326,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.17777688697172328,0.24887098377000286,0.24820559765846337,0.24302732500767107,30.60192969512298,11.256931993974606,26.498941165540767,3.9549645503102204,0.0,63.69275773342315,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 05:00:00,0.0,0.0,0.0,6878366.954545454,23.3471324,21.235862266666665,0.0,0,5,5,1,19,0.9659258262890683,0.25881904510252074,49,1,1,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.570256669047616,21.899515833333332,24.2409969,0.0,0.0,0.0,0.0,0.0,0.0,20.880382640476192,20.577314266666665,22.76570026904762,0.0,0.0,22.90358980079365,0.0,0.0,0.0,21.40779905873016,0.0,269.10976393359425,264.96765270215855,237.72798747109553,342.47393224416305,333.2442991741751,325.67506050333714,1070.445738634091,0.0,1070.445738634091,0.1942884393964862,0.19629531269794445,0.1761154207383427,0.24887098377000286,0.24820559765846337,0.24248806087682154,30.511074115173006,11.24305639034298,26.46222448800345,3.9545453857260076,0.0,66.15604368653811,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 05:30:00,0.0,0.0,0.0,6878366.954545454,23.1700561,21.069464133333337,0.0001591589084333,30,5,5,1,19,0.9659258262890683,0.25881904510252074,49,1,1,4,1153.50259735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000166727441,7.35847321e-05,0.0004313606206666,22.568543400000003,21.918287166666666,24.3089692,0.0,0.0,0.0,0.0,0.0,0.0,21.148310233333333,20.651813833333335,23.2745362,0.0,0.00022389093125553333,22.93193325555556,0.0,0.0,0.0,21.691553422222224,0.0,269.10976393359425,264.96765270215855,235.52680240191873,342.47393224416305,333.2442991741751,324.9558026930963,1070.445738634091,0.0,1070.445738634091,0.1942903798695883,0.19629255610232296,0.17448626617077473,0.2488694375953402,0.24820779730015688,0.24194538697586893,30.424381857007827,11.226603613357488,26.42617188533675,3.953814993262288,0.0,68.19124613246527,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-19 06:00:00,48.06087662090909,4.637581168977273,0.5097402597272727,6878367.464272727,23.312933307142856,22.131111347619047,0.0070054371299999,0,6,5,1,19,1.0,6.123233995736766e-17,36,1,1,4,1153.50259735,0.0,5.964082792272728,18.900284090931816,16.292091836857143,61.82264610454546,195.59983765977273,168.67261904357142,0.0085671667766666,0.014919848122619,0.0140842823266666,22.743964700000003,21.89181895,24.050040666666668,0.5515422078181818,2.097808441545454,1.458616780047619,696.1557942955435,1266.7879683224348,1156.756976250779,21.5529429,20.34360063571428,22.280107633333333,13.718819573353896,0.012523765741984065,22.895274772222223,-10.328009044584416,1039.9002462895858,1.3693224764704184,21.392217056349207,142.0317009359632,268.8402597398722,264.8600692746108,233.42072240549993,342.68004771768426,333.327082640903,324.19439828684835,1070.445738634091,0.0,1070.445738634091,0.1941580323415476,0.1962350861486771,0.1729640725983517,0.24896852492705757,0.2482510647786226,0.2413464661558636,30.342992508778398,11.206768646884896,26.392390168040084,3.9512399947437604,0.7075277369442601,69.87304685785296,0.20917978941400925,0.03349002859991755,0.04744406821112073,0.09020869285735167,0.09441132058702502,0.0773546938851658
2020-05-19 06:30:00,449.5698051931818,43.62435064977272,8.137175324931817,6878375.09175,23.507515466666668,22.759406533333333,0.0297011578333332,30,6,5,1,19,1.0,6.123233995736766e-17,36,1,1,4,1153.50259735,0.0,64.69224837727272,89.0906249975,97.06006493545452,667.2857142818182,917.4724025568182,997.676001109091,0.0510427445,0.0643923057999999,0.0724020887333333,22.817119399999996,22.0627522,24.097860633333333,15.22727272706818,27.46753246818182,26.00081168802273,1267.4132045794033,1383.5600991555134,1340.569956385373,22.243985100000003,21.692524166666665,23.667862966666668,83.61431277007574,0.06261237967777773,22.99257741111111,-32.3678165581818,1330.5144200400966,22.898538961090907,22.534790744444447,860.8113726492425,268.3319602269508,264.5229045187964,231.8868271870615,342.9703165478763,333.51491853099054,323.1045977322035,1070.445738634091,0.0,1070.445738634091,0.19387991648113098,0.19601259297957987,0.1718556968883667,0.24912397452507778,0.24837275918666574,0.24051790987894392,30.26936516869859,11.181938775598038,26.35988770651245,3.947818449413795,7.626995715150689,71.25188705759479,44.16336206517093,0.0006725293647142135,0.0011660996989957212,0.0014796771565769,0.0016772365309694482,0.0014410044621806898
